start_dt,duration,finish_dt,type,formula,best_set_reps_num,total,notes,
27-06-24 22:30,0:30:00,27-06-24 23:00,pull_ups,5*10 + 3*15,15,95,misc,
30-06-24 22:30,0:30:00,30-06-24 23:00,dips,5*20 + 3*30,30,190,,
01-07-24 13:00,0:30:00,01-07-24 13:30,pull_ups,5*10 + 3*15,15,95,misc,
04-07-24 19:30,0:30:00,04-07-24 20:00,dips,5*20 + 3*30,30,190,,
06-07-24 22:30,0:30:00,06-07-24 23:00,pull_ups,5*10 + 2*15,15,80,,
08-07-24 12:00,0:30:00,08-07-24 12:30,dips,5*20 + 2*30,30,160,,
09-07-24 21:30,0:30:00,09-07-24 22:00,pull_ups,5*10 + 3*15,15,95,,
11-07-24 21:00,0:30:00,11-07-24 21:30,dips,5*20 + 4*30,30,220,,
13-07-24 22:00,0:30:00,13-07-24 22:30,pull_ups,5*10 + 3*15,15,95,,
14-07-24 22:30,0:30:00,14-07-24 23:00,dips,5*20 + 3*30,30,190,,
15-07-24 22:30,0:30:00,15-07-24 23:00,pull_ups,6*10 + 2*15,15,90,,
17-07-24 22:00,0:30:00,17-07-24 22:30,dips,5*20 + 2*30,30,160,,
20-07-24 23:00,0:30:00,20-07-24 23:30,pull_ups,5*10 + 3*15,15,95,,
22-07-24 22:00,0:30:00,22-07-24 22:30,dips,5*20 + 2*35,35,170,,
23-07-24 22:00,0:30:00,23-07-24 22:30,pull_ups,5*10 + 2*20,20,90,,
24-07-24 23:30,0:30:00,25-07-24 00:00,dips,5*20 + 3*30,30,190,stretch abs,
25-07-24 22:00,0:30:00,25-07-24 22:30,pull_ups,5*10 + 3*15,15,95,,
16-08-24 22:00,0:30:00,16-08-24 22:30,pull_ups,4*5,5,20,,injured left shoulder
18-08-24 23:30,0:30:00,19-08-24 00:00,pull_ups,5*10,10,50,,injured left shoulder
20-08-24 22:30,0:30:00,20-08-24 23:00,pull_ups,7*10,10,70,,injured left shoulder
22-08-24 12:30,0:30:00,22-08-24 13:00,pull_ups,7*10,10,70,,injured left shoulder
26-08-24 20:00,0:30:00,26-08-24 20:30,pull_ups,7*10,10,70,,injured left shoulder
28-08-24 21:00,0:30:00,28-08-24 21:30,pull_ups,5*10 + 2*12,12,74,,injured left shoulder
30-08-24 21:00,0:30:00,30-08-24 21:30,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
03-09-24 21:00,0:30:00,03-09-24 21:30,pull_ups,5*10 + 3*15,15,95,,injured left shoulder
05-09-24 20:00,0:30:00,05-09-24 20:30,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
07-09-24 23:00,0:30:00,07-09-24 23:30,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
10-09-24 20:00,0:30:00,10-09-24 20:30,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
14-09-24 21:00,0:30:00,14-09-24 21:30,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
16-09-24 20:30,0:30:00,16-09-24 21:00,pull_ups,5*10 + 2*15 + 1*10,15,90,,injured left shoulder
22-09-24 20:00,0:30:00,22-09-24 20:30,pull_ups,5*10 + 2*15 + 1*10,15,90,,injured left shoulder
24-09-24 20:00,0:30:00,24-09-24 20:30,pull_ups,5*10 + 3*15,15,95,,injured left shoulder
26-09-24 20:00,0:30:00,26-09-24 20:30,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
29-09-24 20:00,0:30:00,29-09-24 20:30,pull_ups,5*10 + 2*15 + 1*10,15,90,,injured left shoulder
12-10-24 16:00,0:30:00,12-10-24 16:30,pull_ups,7*10,10,70,abs,injured left shoulder
12-10-24 16:00,0:30:00,12-10-24 16:30,push_ups,7*10,10,70,hyperextention,injured left shoulder
14-10-24 17:00,0:30:00,14-10-24 17:30,pull_ups,5*10 + 2*15,15,80,abs; light leg workout,injured left shoulder
15-10-24 17:30,0:30:00,15-10-24 18:00,push_ups,5*10 + 2*15,15,70,abs; hyperextention,injured left shoulder
16-10-24 16:30,0:30:00,16-10-24 17:00,pull_ups,5*10 + 2*15,15,80,abs; light leg workout,injured left shoulder
17-10-24 21:30,0:30:00,17-10-24 22:00,push_ups,6*15,15,90,hyperextention,injured left shoulder
18-10-24 20:00,0:30:00,18-10-24 20:30,pull_ups,5*10 + 3*15,15,95,abs; light leg workout,injured left shoulder
19-10-24 21:30,0:30:00,19-10-24 22:00,push_ups,6*15 + 1*20,20,110,hyperextention,injured left shoulder
20-10-24 14:30,0:30:00,20-10-24 15:00,pull_ups,5*10 + 3*15,15,95,abs; calves; t-raises,injured left shoulder
21-10-24 18:00,0:30:00,21-10-24 18:30,push_ups,1*15 + 5*20,20,115,light leg workout,injured left shoulder
22-10-24 19:00,0:30:00,22-10-24 19:30,pull_ups,5*10 + 2*15,15,80,hyperextention; abs,injured left shoulder
23-10-24 17:00,0:30:00,23-10-24 17:30,push_ups,1*15 + 5*20,20,115,light leg workout,injured left shoulder
31-10-24 21:30,0:30:00,31-10-24 22:00,pull_ups,5*10 + 2*15,15,80,light leg workout,injured left shoulder
12-11-24 16:00,0:30:00,12-11-24 16:30,pull_ups,5*10,10,50,,Viana; injured left shoulder
14-11-24 23:00,0:30:00,14-11-24 23:30,pull_ups,5*10,10,50,,injured left shoulder
17-11-24 23:00,0:30:00,17-11-24 23:30,pull_ups,6*10,10,60,,injured left shoulder
18-11-24 22:00,0:30:00,18-11-24 22:30,push_ups,5*15,15,75,,injured left shoulder
19-11-24 22:30,0:30:00,19-11-24 23:00,pull_ups,5*10 + 1*15,15,65,,injured left shoulder
21-11-24 22:30,0:30:00,21-11-24 23:00,push_ups,5*15 + 2*20,20,115,,injured left shoulder
23-11-24 22:30,0:30:00,23-11-24 23:00,pull_ups,5*10 + 1*15,15,65,,injured left shoulder
24-11-24 15:30,0:30:00,24-11-24 16:00,push_ups,5*15 + 2*20,20,115,,injured left shoulder
25-11-24 22:30,0:30:00,25-11-24 23:00,pull_ups,5*10 + 1*15,15,65,,injured left shoulder
27-11-24 23:30,0:30:00,28-11-24 00:00,push_ups,5*15 + 2*20,20,115,,injured left shoulder
28-11-24 22:30,0:30:00,28-11-24 23:00,pull_ups,5*10 + 2*15,15,80,,injured left shoulder
02-12-24 22:30,0:30:00,02-12-24 23:00,push_ups,6*20,20,120,,injured left shoulder
03-12-24 18:00,0:30:00,03-12-24 18:30,pull_ups,5*10 + 1*20,20,70,,injured left shoulder
06-12-24 14:00,0:30:00,06-12-24 14:30,pull_ups,5*10,10,50,,injured left shoulder
30-12-24 16:00,0:30:00,30-12-24 16:30,pull_ups,5*10,10,50,,injured left shoulder
03-01-25 13:00,0:30:00,03-01-25 13:30,push_ups,6*10,10,60,,injured left shoulder
